row	cipher_position	symbol	literal	grade	basis
P1.L05	23	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L05	24	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	1	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	2	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	3	l	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	4	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	5	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	6	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	7	3	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	9	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	10	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	11	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	12	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	13	39	x	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	14	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	15	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	16	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	17	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	18	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L06	19	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	1	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	2	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	3	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	4	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	5	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	6	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	7	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L07	8	a	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	9	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	10	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	11	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	12	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	13	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	14	1	h	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	15	h	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	16	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	17	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	18	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	19	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	20	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	21	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	22	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	23	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	24	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	25	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	26	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L07	27	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	1	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	2	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	3	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	4	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	5	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	6	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	7	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	8	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	9	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	10	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	11	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	12	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	13	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	14	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	15	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L08	16	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	17	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	18	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	19	5	f	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	20	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	21	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	22	i	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L08	23	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	1	3	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	2	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	3	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	4	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	5	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	6	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	7	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	8	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L09	9	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L11	1	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L11	2	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L11	3	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L11	4	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L11	5	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L11	6	7	c	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L11	7	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	1	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	2	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	3	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L12	4	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	5	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	6	i	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	7	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	8	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	9	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	10	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	11	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	12	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	13	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	14	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L12	15	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	16	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	17	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	18	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	19	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	20	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	21	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	22	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	23	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L12	24	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	1	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	2	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	3	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	4	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	5	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	6	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	7	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	8	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	9	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	10	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	11	8	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	12	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	13	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	14	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L13	15	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	1	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	2	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	3	a	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	4	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	5	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	6	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	7	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	9	l	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	10	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	11	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	12	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	13	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	14	30	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	15	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	16	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L14	17	0	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	18	9	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	19	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L14	20	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	21	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	22	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	23	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	24	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L14	25	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	1	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	2	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	3	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	4	2	f	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	5	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	6	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	7	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	9	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	10	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	11	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	12	o	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L15	13	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	1	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	2	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	3	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	4	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	5	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	6	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	7	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	8	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	9	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	10	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	11	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	12	17	g	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	13	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	14	18	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	15	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	16	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L16	17	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	1	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	2	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	3	39	x	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	4	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	5	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	6	18	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	7	0	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	8	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	9	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	10	16	g	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	11	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	12	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	13	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	14	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	15	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	16	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L17	17	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	18	0	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	19	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	20	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	21	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	22	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	23	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	24	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	25	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L17	26	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	1	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	2	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	3	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	4	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	5	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	6	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	7	i	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	8	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	9	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	10	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	11	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	12	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	13	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	14	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L18	15	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	1	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	2	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	3	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	4	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L19	5	10	h	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	6	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	7	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	8	i	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	9	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	10	16	g	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	11	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	12	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	13	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	14	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	15	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	16	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	17	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	18	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	19	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	20	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	21	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	22	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	23	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L19	24	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	1	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	2	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	3	18	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	4	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	5	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	6	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	7	31	s	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L20	8	30	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	9	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	10	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	11	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	12	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	13	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	14	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	15	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	16	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	17	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	18	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	19	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	20	p^		M	Unmapped source sign
P1.L20	21	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	22	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L20	23	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	1	9	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	2	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	3	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	4	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	5	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	6	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	7	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	8	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	9	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	10	18	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	11	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	12	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	13	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	14	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	15	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L21	16	0	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	1	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	2	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	3	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	4	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	5	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
