id	segment	baseline_index	physical_line	baseline	token	action	certainty	literal	alternatives	images	observation
s0t017	0	17	P1.C01	ib	ib	retain	uncertain	mi	"[""ib"", ""ub""]"	"[""L1-02.png""]"	First domus formula: short initial minim currently reads ib=mi. ub=mu is contextual; shape not decisively settled.
s0t018	0	18	P1.C01	#	#	retain	not_individually_graded	s	[]	"[""L1-02.png""]"	
s0t019	0	19	P1.C01	tas	tas	retain	not_individually_graded	sa	[]	"[""L1-02.png""]"	
s0t020	0	20	P1.C02	pun	pun	retain	not_individually_graded	lu	[]	"[""L1-03.png""]"	
s0t021	0	21	P1.C02	xir	xir	retain	not_individually_graded	ti	[]	"[""L1-03.png""]"	
s0t022	0	22	P1.C02	Zb	Zb	retain	not_individually_graded	s	[]	"[""L1-03.png""]"	
s0t023	0	23	P1.C02	#	#	retain	not_individually_graded	s	[]	"[""L1-03.png""]"	
s0t024	0	24	P1.C02	xar	xar	retain	not_individually_graded	ta	[]	"[""L1-03.png""]"	
s0t025	0	25	P1.C02	sil	sil	retain	not_individually_graded	bi	[]	"[""L1-03.png""]"	
s0t026	0	26	P1.C02	pin	pin	retain	not_individually_graded	li	[]	"[""L1-03.png""]"	
s0t027	0	27	P1.C02	42	42	retain	not_individually_graded	en	[]	"[""L1-03.png""]"	
s0t028	0	28	P1.C02	he	he	retain	not_individually_graded	de	[]	"[""L1-03.png""]"	
s0t029	0	29	P1.C02	tan	tan	retain	not_individually_graded	ra	[]	"[""L1-03.png""]"	
s0t030	0	30	P1.C02	Ft	Ft	retain	not_individually_graded	t	[]	"[""L1-03.png""]"	
s0t031	0	31	P1.C02	A	A	retain	not_individually_graded	i	[]	"[""L1-03.png""]"	
s0t032	0	32	P1.C02	y	y	retain	not_individually_graded	o	[]	"[""L1-03.png""]"	
s0t033	0	33	P1.C02	L	L	retain	not_individually_graded		[]	"[""L1-03.png""]"	
s0t034	0	34	P1.C02	Fs	Fs	retain	not_individually_graded		[]	"[""L1-03.png""]"	
s1t000	1	0	P1.C03	Z4	Z4	retain	not_individually_graded	i	[]	"[""L1-16.png""]"	
s1t001	1	1	P1.C03	DB	DB	retain	not_individually_graded	p	[]	"[""L1-16.png""]"	
s1t002	1	2	P1.C03	tus	tus	retain	not_individually_graded	su	[]	"[""L1-16.png""]"	
s1t003	1	3	P1.C03	F	F	retain	not_individually_graded	m	[]	"[""L1-16.png""]"	
s1t004	1	4	P1.C04	ud	ud	retain	not_individually_graded	nu	[]	"[""L1-17.png""]"	
s1t005	1	5	P1.C04	13	13	retain	not_individually_graded	ll	[]	"[""L1-17.png""]"	
s1t006	1	6	P1.C04	oc	oc	retain	not_individually_graded	os	[]	"[""L1-17.png""]"	
s1t007	1	7	P1.C04	X	X	retain	not_individually_graded	a	[]	"[""L1-17.png""]"	
s1t008	1	8	P1.C04	Z2	Z2	retain	uncertain	?	"[""Z2"", ""Z""]"	"[""L1-17.png""]"	Rounded 2/z-like sign. Matching Z=u would still leave the noun unresolved; retained separately.
s1t009	1	9	P1.C04	ltu	ltu	retain	uncertain	?	"[""ltu"", ""tus"", ""tu""]"	"[""L1-17.png""]"	Extra initial tall stroke and unclear final group; do not replace with su to manufacture ausus.
s1t010	1	10	P1.C04	#	#	retain	not_individually_graded	s	[]	"[""L1-17.png""]"	
s1t011	1	11	P1.C04	3	3	retain	not_individually_graded	q	[]	"[""L1-17.png""]"	
s1t012	1	12	P1.C04	Z2	Z2	retain	uncertain	?	"[""Z2"", ""Z"", ""y""]"	"[""L1-17.png""]"	Same broad 2/z shape as s1t008, but quos would require a different reading or missing o. This constrains the proposed relative clause.
s1t013	1	13	P1.C04	#	#	retain	not_individually_graded	s	[]	"[""L1-17.png""]"	
s1t014	1	14	P1.C04	ten	ten	retain	not_individually_graded	re	[]	"[""L1-17.png""]"	
s1t015	1	15	P1.C04	#	#	retain	not_individually_graded	s	[]	"[""L1-17.png""]"	
s1t016	1	16	P1.C04	xir	xir	retain	not_individually_graded	ti	[]	"[""L1-17.png""]"	
s1t017	1	17	P1.C04	xur	xur	retain	not_individually_graded	tu	[]	"[""L1-17.png""]"	
s1t018	1	18	P1.C04	9	9	retain	not_individually_graded	e	[]	"[""L1-17.png""]"	
s1t019	1	19	P1.C04	T	T	retain	not_individually_graded	n	[]	"[""L1-17.png""]"	
s1t020	1	20	P1.C04	hi	hi	retain	not_individually_graded	di	[]	"[""L1-17.png""]"	
s1t021	1	21	P1.C04	#	#	retain	not_individually_graded	s	[]	"[""L1-17.png""]"	
s1t022	1	22	P1.C04	A	A	retain	not_individually_graded	i	[]	"[""L1-17.png""]"	
s1t023	1	23	P1.C04	^9/7	^9/7	retain	not_individually_graded	ll	[]	"[""L1-17.png""]"	
s1t024	1	24	P1.C05	ic	ic	retain	not_individually_graded	is	[]	"[""L1-18.png""]"	
s1t025	1	25	P1.C05	5	5	retain	not_individually_graded	q	[]	"[""L1-18.png""]"	
s1t026	1	26	P1.C05	Z	Z	retain	not_individually_graded	u	[]	"[""L1-18.png""]"	
s1t027	1	27	P1.C05	Z4	Z4	retain	not_individually_graded	i	[]	"[""L1-18.png""]"	
s1t028	1	28	P1.C05	43	43	retain	not_individually_graded	in	[]	"[""L1-18.png""]"	
s1t029	1	29	P1.C05	ir	ir	retain	not_individually_graded	fi	[]	"[""L1-18.png""]"	
s1t030	1	30	P1.C05	he	he	retain	not_individually_graded	de	[]	"[""L1-18.png""]"	
s1t031	1	31	P1.C05	F	F	retain	not_individually_graded	m	[]	"[""L1-18.png""]"	
s1t032	1	32	P1.C05	X	X	retain	not_individually_graded	a	[]	"[""L1-18.png""]"	
s1t033	1	33	P1.C05	N	N	retain	not_individually_graded	c	[]	"[""L1-18.png""]"	
s1t034	1	34	P1.C05	xur	xur	retain	not_individually_graded	tu	[]	"[""L1-18.png""]"	
s1t035	1	35	P1.C05	xer	xer	retain	not_individually_graded	te	[]	"[""L1-18.png""]"	
s1t036	1	36	P1.C05	pan	pan	retain	not_individually_graded	la	[]	"[""L1-18.png""]"	
s1t037	1	37	P1.C05	Q4	Q4	retain	not_individually_graded	m	[]	"[""L1-18.png""]"	
s1t038	1	38	P1.C05	G9	G9	retain	not_individually_graded	i	[]	"[""L1-18.png""]"	
s1t039	1	39	P1.C05	DB	DB	retain	not_individually_graded	p	[]	"[""L1-18.png""]"	
s1t040	1	40	P1.C05	tis	tis	retain	not_individually_graded	si	[]	"[""L1-18.png""]"	
s1t041	1	41	P1.C05	uc	uc	retain	not_individually_graded	us	[]	"[""L1-18.png""]"	
s1t042	1	42	P1.C05	tes	tes	retain	not_individually_graded	se	[]	"[""L1-18.png""]"	
s1t043	1	43	P1.C06	for	for	retain	not_individually_graded	co	[]	"[""L1-19.png""]"	
s1t044	1	44	P1.C06	T	T	retain	not_individually_graded	n	[]	"[""L1-19.png""]"	
s1t045	1	45	P1.C06	9	9	retain	uncertain	e	"[""9""]"	"[""L1-19.png""]"	An e-valued loop is visibly present. Omitting it to make coniecerint is an editorial deletion, not a confirmed transcription correction.
s1t046	1	46	P1.C06	A	A	retain	not_individually_graded	i	[]	"[""L1-19.png""]"	
s1t047	1	47	P1.C06	9	9	retain	not_individually_graded	e	[]	"[""L1-19.png""]"	
s1t048	1	48	P1.C06	fer	fer	retain	not_individually_graded	ce	[]	"[""L1-19.png""]"	
s1t049	1	49	P1.C06	tun	tun	retain	uncertain	ru	"[""tun""]"	"[""L1-19.png""]"	Additional ru-valued group appears present. Nearby overlapping descenders complicate diacritics; no null marker securely established.
s1t050	1	50	P1.C06	tin	tin	retain	not_individually_graded	ri	[]	"[""L1-19.png""]"	
s1t051	1	51	P1.C06	T	T	retain	not_individually_graded	n	[]	"[""L1-19.png""]"	
s1t052	1	52	P1.C06	8	8	retain	not_individually_graded	t	[]	"[""L1-19.png""]"	
s1t053	1	53	P1.C06	DB	DB	retain	not_individually_graded	p	[]	"[""L1-19.png""]"	
s1t054	1	54	P1.C06	M	M	retain	not_individually_graded	r	[]	"[""L1-19.png""]"	
s1t055	1	55	P1.C06	43	43	retain	not_individually_graded	in	[]	"[""L1-19.png""]"	
s1t056	1	56	P1.C06	fir	fir	retain	not_individually_graded	ci	[]	"[""L1-19.png""]"	
s1t057	1	57	P1.C06	48	48	retain	not_individually_graded	pi	[]	"[""L1-19.png""]"	
s1t058	1	58	P1.C06	sul	sul	retain	not_individually_graded	bu	[]	"[""L1-19.png""]"	
s1t059	1	59	P1.C06	Zx	Zx	retain	not_individually_graded	s	[]	"[""L1-19.png""]"	
s1t060	1	60	P1.C06	43	43	retain	not_individually_graded	in	[]	"[""L1-19.png""]"	
s1t061	1	61	P1.C07	DB	DB	retain	not_individually_graded	p	[]	"[""L1-20.png""]"	
s1t062	1	62	P1.C07	M	M	retain	not_individually_graded	r	[]	"[""L1-20.png""]"	
s1t063	1	63	P1.C07	A	A	retain	not_individually_graded	i	[]	"[""L1-20.png""]"	
s1t064	1	64	P1.C07	ib	ib	retain	not_individually_graded	mi	[]	"[""L1-20.png""]"	
s1t065	1	65	P1.C07	Zx	Zx	retain	not_individually_graded	s	[]	"[""L1-20.png""]"	
s1t066	1	66	P1.C07	^9Z	^9Z	retain	not_individually_graded	u	[]	"[""L1-20.png""]"	
s1t067	1	67	P1.C07	A	A	retain	not_individually_graded	i	[]	"[""L1-20.png""]"	
s1t068	1	68	P1.C07	^x4	^x4	retain	not_individually_graded		[]	"[""L1-20.png""]"	
s1t069	1	69	P1.C07	M	M	retain	not_individually_graded	r	[]	"[""L1-20.png""]"	
s1t070	1	70	P1.C07	xer	xer	retain	not_individually_graded	te	[]	"[""L1-20.png""]"	
s1t071	1	71	P1.C07	^xF	^xF	retain	not_individually_graded		[]	"[""L1-20.png""]"	
s1t072	1	72	P1.C07	T	T	retain	not_individually_graded	n	[]	"[""L1-20.png""]"	
s1t073	1	73	P1.C07	sed	sed	retain	not_individually_graded	be	[]	"[""L1-20.png""]"	
s1t074	1	74	P1.C07	M	M	retain	not_individually_graded	r	[]	"[""L1-20.png""]"	
s1t075	1	75	P1.C07	lis	lis	retain	not_individually_graded	gi	[]	"[""L1-20.png""]"	
s1t076	1	76	P1.C07	for	for	retain	not_individually_graded	co	[]	"[""L1-20.png""]"	
s1t077	1	77	P1.C07	9	9	retain	not_individually_graded	e	[]	"[""L1-20.png""]"	
s1t078	1	78	P1.C07	S	S	retain	not_individually_graded	t	[]	"[""L1-20.png""]"	
s1t079	1	79	P1.C07	hu	hu	retain	not_individually_graded	du	[]	"[""L1-20.png""]"	
s1t080	1	80	P1.C08	16	16	retain	not_individually_graded	r	[]	"[""L1-21.png""]"	
s1t081	1	81	P1.C08	pan	pan	retain	not_individually_graded	la	[]	"[""L1-21.png""]"	
s1t082	1	82	P1.C08	fer	fer	retain	not_individually_graded	ce	[]	"[""L1-21.png""]"	
s1t083	1	83	P1.C08	p	p	retain	not_individually_graded	n	[]	"[""L1-21.png""]"	
s1t084	1	84	P1.C08	tis	tis	retain	not_individually_graded	si	[]	"[""L1-21.png""]"	
s1t085	1	85	P1.C08	DB	DB	retain	not_individually_graded	p	[]	"[""L1-21.png""]"	
s1t086	1	86	P1.C08	M	M	retain	not_individually_graded	r	[]	"[""L1-21.png""]"	
s1t087	1	87	P1.C08	Yx	Yx	retain	not_individually_graded	o	[]	"[""L1-21.png""]"	
s1t088	1	88	P1.C08	ur	ur	retain	not_individually_graded	fu	[]	"[""L1-21.png""]"	
s1t089	1	89	P1.C08	xur	xur	retain	not_individually_graded	tu	[]	"[""L1-21.png""]"	
s1t090	1	90	P1.C08	ton	ton	retain	not_individually_graded	ro	[]	"[""L1-21.png""]"	
s1t091	1	91	P1.C08	#	#	retain	not_individually_graded	s	[]	"[""L1-21.png""]"	
s1t092	1	92	P1.C08	9	9	retain	not_individually_graded	e	[]	"[""L1-21.png""]"	
s1t093	1	93	P1.C08	tes	tes	retain	not_individually_graded	se	[]	"[""L1-21.png""]"	
s1t094	1	94	P1.C08	N	N	retain	not_individually_graded	c	[]	"[""L1-21.png""]"	
s1t095	1	95	P1.C08	16	16	retain	not_individually_graded	r	[]	"[""L1-21.png""]"	
s1t096	1	96	P1.C08	9	9	retain	not_individually_graded	e	[]	"[""L1-21.png""]"	
s1t097	1	97	P2.C01	hi	hi	retain	not_individually_graded	di	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t098	1	98	P2.C01	he	he	retain	not_individually_graded	de	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t099	1	99	P2.C01	tin	tin	retain	not_individually_graded	ri	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t100	1	100	P2.C01	S	S	retain	not_individually_graded	t	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t101	1	101	P2.C01	43	43	retain	not_individually_graded	in	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t102	1	102	P2.C01	xer	xer	retain	not_individually_graded	te	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t103	1	103	P2.C01	M	M	retain	not_individually_graded	r	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t104	1	104	P2.C01	lb	ib	replace	probable	mi	"[""lb""]"	"[""L2-00a.png"", ""L2-00b.png""]"	Looped ascender after a short initial stroke resembles ib; no independent proof of the vowel. Compare L2-00b with ib in L2-02a.
s1t105	1	105	P2.C01	tus	tus	retain	not_individually_graded	su	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t106	1	106	P2.C01	tin	tin	retain	uncertain	ri	"[""tin"", ""tun""]"	"[""L2-00a.png"", ""L2-00b.png""]"	The intermissurum candidate needs tun=ru. Image still resembles tin, including an apparent dot; retain tin.
s1t107	1	107	P2.C01	F	F	retain	not_individually_graded	m	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t108	1	108	P2.C01	9	9	retain	not_individually_graded	e	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t109	1	109	P2.C01	R	R	retain	not_individually_graded	q	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t110	1	110	P2.C01	Z	Z	retain	not_individually_graded	u	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t111	1	111	P2.C01	p	p	retain	not_individually_graded	n	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t112	1	112	P2.C01	T	T	retain	not_individually_graded	n	[]	"[""L2-00a.png"", ""L2-00b.png""]"	
s1t113	1	113	P2.C02	xur	xur	retain	not_individually_graded	tu	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t114	1	114	P2.C02	#	#	retain	not_individually_graded	s	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t115	1	115	P2.C02	10	10	retain	not_individually_graded	u	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t116	1	116	P2.C02	9	9	retain	not_individually_graded	e	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t117	1	117	P2.C02	ton	ton	retain	not_individually_graded	ro	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t118	1	118	P2.C02	43	43	retain	not_individually_graded	in	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t119	1	119	P2.C02	he	he	retain	not_individually_graded	de	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t120	1	120	P2.C02	N	N	retain	not_individually_graded	c	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t121	1	121	P2.C02	M	M	retain	not_individually_graded	r	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t122	1	122	P2.C02	A	A	retain	not_individually_graded	i	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t123	1	123	P2.C02	45	45	retain	not_individually_graded	s	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t124	1	124	P2.C02	hu	hu	retain	not_individually_graded	du	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t125	1	125	P2.C02	#	#	retain	not_individually_graded	s	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t126	1	126	P2.C02	odl	odl	retain	not_individually_graded	no	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t127	1	127	P2.C02	T	T	retain	not_individually_graded	n	[]	"[""L2-01a.png"", ""L2-01b.png""]"	
s1t128	1	128	P2.C03	ib	ib	retain	not_individually_graded	mi	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t129	1	129	P2.C03	od	od	retain	not_individually_graded	no	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t130	1	130	P2.C03	ten	ten	retain	uncertain	re	"[""ten"", ""tin""]"	"[""L2-02a.png"", ""L2-02b.png""]"	ten looks e-like in source; intended minoris needs tin. Retain observed ten, mark editorial e/i change.
s1t131	1	131	P2.C03	4	4	retain	not_individually_graded	s	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t132	1	132	P2.C03	Pb	Pb	retain	not_individually_graded	e	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t133	1	133	P2.C03	ob	ob	retain	not_individually_graded	mo	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t134	1	134	P2.C03	pun	pun	retain	not_individually_graded	lu	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t135	1	135	P2.C03	eb	eb	retain	not_individually_graded	me	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t136	1	136	P2.C03	p	p	retain	not_individually_graded	n	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t137	1	137	P2.C03	xir	xir	retain	not_individually_graded	ti	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t138	1	138	P2.C03	Z	Z	retain	not_individually_graded	u	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t139	1	139	P2.C03	9	9	retain	not_individually_graded	e	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t140	1	140	P2.C03	J	J	retain	not_individually_graded	l	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t141	1	141	P2.C03	he	he	retain	not_individually_graded	de	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t142	1	142	P2.C03	S	S	retain	not_individually_graded	t	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t143	1	143	P2.C03	M	M	retain	not_individually_graded	r	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t144	1	144	P2.C03	A	A	retain	not_individually_graded	i	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t145	1	145	P2.C03	eb	eb	retain	not_individually_graded	me	[]	"[""L2-02a.png"", ""L2-02b.png""]"	
s1t146	1	146	P2.C04	p	p	retain	not_individually_graded	n	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t147	1	147	P2.C04	xir	xir	retain	not_individually_graded	ti	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t148	1	148	P2.C04	ten	ten	retain	not_individually_graded	re	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t149	1	149	P2.C04	sul	sul	retain	not_individually_graded	bu	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t150	1	150	P2.C04	#	#	retain	not_individually_graded	s	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t151	1	151	P2.C04	hi	hi	retain	not_individually_graded	di	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t152	1	152	P2.C04	pen	pen	retain	not_individually_graded	le	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t153	1	153	P2.C04	^9N	^9N	retain	not_individually_graded	ct	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t154	1	154	P2.C04	A	A	retain	not_individually_graded	i	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t155	1	155	P2.C04	y	y	retain	not_individually_graded	o	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t156	1	156	P2.C04	ed	ed	retain	uncertain	ne	"[""ed"", ""id""]"	"[""L2-03a.png"", ""L2-03b.png""]"	Source e-like vowel retained; Dilectionis needs i. Context alone is insufficient to change the transcript.
s1t157	1	157	P2.C04	#	#	retain	not_individually_graded	s	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t158	1	158	P2.C04	Z	Z	retain	not_individually_graded	u	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t159	1	159	P2.C04	9	9	retain	not_individually_graded	e	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t160	1	160	P2.C04	#	#	retain	not_individually_graded	s	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t161	1	161	P2.C04	S	S	retain	not_individually_graded	t	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t162	1	162	P2.C04	M	M	retain	not_individually_graded	r	[]	"[""L2-03a.png"", ""L2-03b.png""]"	
s1t163	1	163	P2.C05	9	9	retain	not_individually_graded	e	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t164	1	164	P2.C05	3	3	retain	not_individually_graded	q	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t165	1	165	P2.C05	Z	Z	retain	not_individually_graded	u	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t166	1	166	P2.C05	X	X	retain	not_individually_graded	a	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t167	1	167	P2.C05	4	4	retain	uncertain	s	"[""4""]"	"[""L2-04a.png"", ""L2-04b.png""]"	quas versus intended quam/other comparative construction is not resolved by the shape.
s1t168	1	168	P2.C05	eb	eb	retain	not_individually_graded	me	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t169	1	169	P2.C05	ic	ic	retain	not_individually_graded	is	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t170	1	170	P2.C05	146	146	retain	uncertain	pa	"[""146"", ""46""]"	"[""L2-04a.png"", ""L2-04b.png""]"	Leading stroke in 146 retained; v4 gives both 146 and 46 pa. This does not independently support regrouping 10 8 as 108.
s1t171	1	171	P2.C05	M	M	retain	not_individually_graded	r	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t172	1	172	P2.C05	xer	xer	retain	not_individually_graded	te	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t173	1	173	P2.C05	4	4	retain	not_individually_graded	s	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t174	1	174	P2.C05	tis	tis	retain	not_individually_graded	si	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t175	1	175	P2.C05	S	S	retain	not_individually_graded	t	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t176	1	176	P2.C05	X	X	retain	not_individually_graded	a	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t177	1	177	P2.C05	^9/13	^9/13	retain	not_individually_graded	ll	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t178	1	178	P2.C05	X	X	retain	not_individually_graded	a	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t179	1	179	P2.C05	xur	xur	retain	not_individually_graded	tu	[]	"[""L2-04a.png"", ""L2-04b.png""]"	
s1t180	1	180	P2.C06	fun	fun	retain	not_individually_graded	ru	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t181	1	181	P2.C06	#	#	retain	not_individually_graded	s	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t182	1	182	P2.C06	A	A	retain	not_individually_graded	i	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t183	1	183	P2.C06	he	he	retain	not_individually_graded	de	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t184	1	184	P2.C06	y	y	retain	not_individually_graded	o	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t185	1	185	P2.C06	fur	fur	retain	not_individually_graded	cu	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t186	1	186	P2.C06	F	F	retain	not_individually_graded	m	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t187	1	187	P2.C06	3	3	retain	not_individually_graded	q	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t188	1	188	P2.C06	10	10	retain	not_individually_graded	u	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t189	1	189	P2.C06	X	X	retain	not_individually_graded	a	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t190	1	190	P2.C06	Z	Z	retain	uncertain	u	"[""Z""]"	"[""L2-05a.png"", ""L2-05b.png""]"	The z-like sign remains visible inside quautum. Replacing u by n to obtain quantum is editorial.
s1t191	1	191	P2.C06	xur	xur	retain	not_individually_graded	tu	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t192	1	192	P2.C06	F	F	retain	not_individually_graded	m	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t193	1	193	P2.C06	43	43	retain	not_individually_graded	in	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t194	1	194	P2.C06	eb	eb	retain	not_individually_graded	me	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t195	1	195	P2.C06	ec	ec	retain	not_individually_graded	es	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t196	1	196	P2.C06	S	S	retain	not_individually_graded	t	[]	"[""L2-05a.png"", ""L2-05b.png""]"	
s1t197	1	197	P2.C07	fus	tus	replace	probable	su	"[""fus""]"	"[""L2-06a.png"", ""L2-06b.png""]"	Short upright t without the long below-baseline loop seen in fus at P2.C16; compare L2-06a and L2-16a. The remaining 10 8 10 is retained as three tokens.
s1t198	1	198	P2.C07	10	10	retain	uncertain	u	"[""10"", ""108(with-next)""]"	"[""L2-06a.png"", ""L2-06b.png""]"	10 and 8 have appreciable spacing; no repeated 108 token. Merging requires a separate hypothesis.
s1t199	1	199	P2.C07	8	8	retain	uncertain	t	"[""8"", ""108(with-previous)""]"	"[""L2-06a.png"", ""L2-06b.png""]"	Digit 8 retained independently. 108=b is not in the recovered key.
